place,longitude,latitude
Hoba,17.91667,-19.58333
Cape York,-64.93333,76.13333
Campo del Cielo,-60.58333,-27.46667
Canyon Diablo,-111.03333,35.05
Armanty,88,47
Gibeon,18,-25.5
Chupaderos,-105.1,27
Mundrabilla,127.55,-30.78333
Sikhote-Alin,134.65333,46.16
Bacubirito,-107.83333,26.2
Mbosi,33.06667,-9.11667
Willamette,-122.58333,45.36667
Morito,-105.43333,27.05
Nantan,107.7,25.1
Cranbourne,145.3,-38.1
Santa Catharina,-48.6,-26.21667
BendegÌø,-39.2,-10.11667
Brenham,-99.16361,37.5825
Jilin,126.16667,44.05
Vaca Muerta,-70.5,-25.75
Al Haggounia 001,-12.5,27.5
Xifu,120.48333,36.3
Toluca,-99.56667,19.56667
Old Woman,-115.23333,34.46667
Wabar,50.47222,21.49972
Huckitta,135.76667,-22.36667
Navajo,-109.5,35.33333
Coahuila,-102.73333,28.7
Allende,-105.31667,26.96667
Henbury,133.16667,-24.56667
Campinorte,-49.15917,-14.258
Santa Luzia,-47.95,-16.26667
Ghubara,56.14278,19.22778
Odessa (iron),-102.4,31.71667
Gebel Kamil,26.08778,22.01833
Casas Grandes,-107.8,30.4
Bitburg,6.53333,49.96667
Quinn Canyon,-115.53333,38.08333
Charcas,-101.01667,23.08333
Santa Apolonia,-98.3,19.21667
Tsarev,45.7,48.7
Alkhamasin,44.88333,20.6
Kouga Mountains,24,-33.61667
Goose Lake,-120.54167,41.98
Murnpeowie,139.9,-29.58333
Norton County,-99.86667,39.68333
Kunya-Urgench,59.2,42.25
Fukang,87.63333,44.43333
Bilibino,160.8,67.3
Los Sauces,-66.85,-29.41667
Tucson,-110.96667,31.85
Cosby's Creek,-83.25,35.78333
Imilac,-68.80667,-24.20333
Bondoc,122.45,13.51667
Santa Rosa,-73,5.91667
Brahin,30.33333,52.5
Sardis,-81.865,32.94889
Red River,-95,32
Wolf Creek,127.76667,-19.3
Esquel,-71.33333,-42.9
Gladstone (iron),151.3,-23.9
Mount Dooling,119.71667,-29.45
Plainview (1917),-101.78333,34.11667
Ngiangri,87.8,32.2
Krasnojarsk,91.8,54.9
Davis Mountains,-104.25,30.75
Arispe,-109.98333,30.33333
Itapuranga,-50.15,-15.58333
La Caille,6.78333,43.73333
Jianshi,109.5,30.80833
Adzhi-Bogdo (iron),95.41667,44.86667
Long Island,-99.6,39.93333
JaH 073,55.73333,19.7
Rateldraai,21.13333,-28.83333
Drum Mountains,-112.9,39.5
Grant,-107.88333,35.16667
Tamentit,-0.25,27.71667
Trenton,-88.13333,43.36667
Haig,125.63333,-31.38333
Ochansk,55.26667,57.78333
Wildara,120.85,-28.23333
El Timbu,-60.96667,-33.11667
Boxhole,135.2,-22.61667
Prambanan,110.83333,-7.56667
Knyahinya,22.4,48.9
Jepara,110.73333,-6.6
Saint-Aubin,3.58333,48.48333
Carbo,-111.5,29.66667
Etter,-101.9,35.98333
SaU 001,56.66667,20.51667
Ulasitai,91.4025,44.95667
Wallapai,-113.7,35.8
Paragould,-90.5,36.06667
ALHA76009,159.66667,-76.71667
Pei Xian,117,34.7
Augustinovka,35.08333,48.06667
Mount Joy,-77.21667,39.78333
Mont Dieu,4.86667,49.55
